image,Name,Full Birthdate,Ethnicity,Hair Color,Eye Color,Gender,Decade of Birth,Total GIFs,Sources,Link 1 Text,Link 1 URL,Link 2 Text,Link 2 URL,Link 3 Text,Link 3 URL,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/65eab231e9269980dc628767ce897827/ec988098eebce49a-d8/s540x810/00dd588be535ccfd960ad8d0cb489daa12ab6be4.gif,Aslihan Malbora,"Nov 18, 1990",Turkish,Brown,Brown,Female,1990s,956,"HER YERDE SEN, GEL DESE ASK, GECEN YAZ, UC KURUS",HER YERDE SEN (22),https://sites.google.com/view/tessgifs/a/aslihan-malbora/her-yerde-sen-22,GEL DESE ASK (1+4),https://sites.google.com/view/tessgifs/a/aslihan-malbora/gel-dese-ask-1-4,GECEN YAZ,https://sites.google.com/view/tessgifs/a/aslihan-malbora/gecen-yaz,UC KURUS (16),https://sites.google.com/view/tessgifs/a/aslihan-malbora/uc-kurus-16,UC KURUS (23-24),https://sites.google.com/view/tessgifs/a/aslihan-malbora/uc-kurus-23-24,,,,,,,,,,,,,,
https://64.media.tumblr.com/ec3773e48419af2f195eb182106f4a2f/a836ccf2bfa4c037-6e/s540x810/4eca5c4bd0e6d361a8c2ed84f789f1f3d602890c.gif,Aybuke Pusat,"Feb 5, 1994",Turkish,Brown,Brown,Female,1990s,287,her yerde sen,her yerde sen,https://sites.google.com/view/tessgifs/a/aybuke-pusat/her-yerde-sen-23,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/c713a33df3ec388c585876c72d398708/ec988098eebce49a-6a/s540x810/fac8eb55d0d491805702350689ca580046705923.gif,Ayca Aysin Turan,"Oct 25, 1990",Turkish,Brown,Brown,Female,1990s,5333,"ZEMHERI, THE PROTECTOR, ARIZA, ADA MASALI, MERYEM",ZEMHERI (MISC),https://sites.google.com/view/tessgifs2023/ayca-aysin-turan/zemhari-nav,THE PROTECTOR,https://sites.google.com/view/tessgifs/a/ayca-aysin-turan/the-protector-misc,ARIZA (MISC),https://sites.google.com/view/tessgifs2023/ayca-aysin-turan/ariza-nav,ADA MASALI (MISC),https://sites.google.com/view/tessgifs2023/ayca-aysin-turan/ada-masali-nav,MERYEM (29),https://sites.google.com/view/tessgifs/a/ayca-aysin-turan/meryem-29,MERYEM (23),https://sites.google.com/view/tessgifs/a/ayca-aysin-turan/meryem-23,,,,,,,,,,,,
https://64.media.tumblr.com/f3d21760e71600987f00a09d21042fb5/a836ccf2bfa4c037-be/s540x810/835d700fa8ba27f45c1fbe1296c71c3c543f332d.gif,Aytac Sasmaz,"May 4, 1988",Turkish,Brown,Brown,Male,1980s,967,BAHT OYUNU,BAHT OYUNU (1),https://sites.google.com/view/tessgifs/a/aytac-sasmaz/baht-oyunu-1,BAHT OYUNU (9),https://sites.google.com/view/tessgifs/a/aytac-sasmaz/baht-oyunu-9,BAHT OYUNU (13),https://sites.google.com/view/tessgifs/a/aytac-sasmaz/baht-oyunu-13,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/74ff2aa2e9a282dddb5b70349a5bff0d/c70a1783a928fae2-c1/s400x600/01b1d49276472168fc9c15ffd114d10c9a935c78.gif,Bahar Sahin,"May 26, 1994",Turkish,Brown,Brown,Female,1990s,7583,"SERVET, LISE DEVRIYESI, OHA DIYORUM, YOL ARKADASIM, ZALIM ISTANBUL, DURAN, GULUMSE KADERINE, TETIKCININ OGLU, ZEVCAT",SERVET (PT1),https://sites.google.com/view/tessgifs/b/bahar-sahin/servet-pt-1,SERVET (PT 2),https://sites.google.com/view/tessgifs/b/bahar-sahin/servet-pt-2,LISE DEVRIYESI (6-7),https://sites.google.com/view/tessgifs/b/bahar-sahin/lise-devriyesi-6-7,OHA DIYORUM,https://sites.google.com/view/tessgifs/b/bahar-sahin/oha-diyorum,YOL ARKADASIM (1+2),https://sites.google.com/view/tessgifs/b/bahar-sahin/yol-,,,,,,,,,,,,,,
https://64.media.tumblr.com/2bfd61b2c780c23d1b6ad578bc80f186/03a04ff701fe277a-40/s540x810/7948b4e4d2aa83854696903b184fdbd3de24adfb.gif,Baris Arduc,"Oct 9, 1987",Turkish,Brown,Brown,Male,1980s,829,"KIRALIK ASK, MUTLULUK ZAMANI",KIRALIK ASK (MISC 1),https://sites.google.com/view/tessgifs/b/baris-arduc/kiralik-ask-misc,KIRALIK ASK (MISC 2),https://sites.google.com/view/tessgifs/b/baris-arduc/kiralik-ask-misc-2,MUTLULUK ZAMANI,https://sites.google.com/view/tessgifs/b/baris-arduc/mutluluk-zamani,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/eca59471d46b27ff6c618caa46a50f7b/ec988098eebce49a-db/s540x810/7fbac0fd88c14e6f38644e3f7cfd11aa086abe34.gif,Barkha Singh,"Aug 3, 1992",Indian,Black,Brown,Female,1990s,345,"PLEASE FIND ATTACHED, HOME SWEET OFFICE",PLEASE FIND ATTACHED,https://sites.google.com/view/tessgifs/b/barkha-singh/please-find-attached,HOME SWEET OFFICE,https://sites.google.com/view/tessgifs/b/barkha-singh/home-sweet-office,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/ae80d6ad2c1a888d1e6099c138c9924f/954b9d97843facde-ef/s540x810/5d6314d99c3ef866cc51a0d4c923f40b1bfd1c4e.gif,Basak Gumulcinelioglu,"Jul 4, 1995",Turkish,Brown,Brown,Female,1990s,638,"SEN CAL KAPIMI, ERKENCI KUS",SEN CAL KAPIMI (16-17),https://sites.google.com/view/tessgifs/b/basak-gumulcinelioglu/sck-16-17,ERKENCI KUS (40-48),https://sites.google.com/view/tessgifs/b/basak-gumulcinelioglu/erkenci-kus,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/9c15064aac30a829a48021b1271d12e7/d2ea8e25268847d4-01/s540x810/30303c0430f7bfa952b9a8df583f1de7b3bdf425.gif,Begum Akkaya,"Jan 13, 1995",Turkish,Brown,Brown,Female,1990s,267,YENI HAYAT,YENI HAYAT (MISC),https://sites.google.com/view/tessgifs2023/begüm-akkaya-yeni-hayat,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/871377b3915ef27719017422caebcd41/e1edeb9e33c627df-47/s540x810/2b30d258dba8581b40ed3fd0f6af7a171e9657e2.gif,Ben Robson,"Feb 4, 1984",British,Brown,Green,Male,1980s,593,ANIMAL KINGDOM,ANIMAL KINGDOM (S6),https://sites.google.com/view/tessgifs2023/ben-robson/ak-season-6,,,,,,,,,,,,,,,,,,,,,,
